class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia,73.0,17.0,27.0,80.0,50.0,33.0,59.0,133.0,31.0,71.0
sk__Bacteria;p__Armatimonadetes;c__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__,33.0,23.0,18.0,35.0,32.0,11.0,61.0,29.0,22.0,46.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia,30.0,22.0,3.0,299.0,47.0,0.0,44.0,66.0,3.0,135.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,29.0,16.0,17.0,23.0,33.0,12.0,59.0,33.0,5.0,22.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia,65.0,35.0,11.0,264.0,124.0,26.0,72.0,212.0,31.0,153.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia,65.0,35.0,11.0,264.0,124.0,26.0,72.0,212.0,31.0,153.0
sk__Bacteria;p__Bacteroidetes;c__,202.0,14.0,150.0,80.0,30.0,14.0,16.0,37.0,174.0,23.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,18.0,16.0,2.0,33.0,18.0,8.0,17.0,19.0,3.0,79.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,18.0,16.0,2.0,33.0,18.0,8.0,17.0,19.0,3.0,79.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,18.0,16.0,2.0,33.0,18.0,8.0,17.0,19.0,3.0,79.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,18.0,16.0,2.0,33.0,18.0,8.0,17.0,19.0,3.0,79.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,18.0,16.0,2.0,33.0,18.0,8.0,17.0,19.0,3.0,79.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
