order,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales,2085.0,956.0,541.0,2521.0,1213.0,551.0,1722.0,2711.0,947.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,156.0,324.0,98.0,1117.0,496.0,152.0,191.0,2707.0,266.0,721.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__,24.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,5047.0,87.0,16300.0,678.0,267.0,360.0,83.0,628.0,9926.0,245.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,346.0,175.0,48.0,1206.0,269.0,81.0,302.0,415.0,91.0,587.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__,4.0,20.0,1.0,5.0,16.0,2.0,14.0,8.0,0.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,453.0,537.0,252.0,1038.0,566.0,369.0,393.0,495.0,131.0,1173.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,453.0,537.0,252.0,1038.0,566.0,369.0,393.0,495.0,131.0,1173.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,453.0,537.0,252.0,1038.0,566.0,369.0,393.0,495.0,131.0,1173.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,453.0,537.0,252.0,1038.0,566.0,369.0,393.0,495.0,131.0,1173.0
sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales,3.0,6.0,0.0,1.0,14.0,9.0,17.0,11.0,0.0,2.0
sk__Bacteria;p__Candidatus Azambacteria;c__;o__,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0
sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__,4.0,3.0,2.0,11.0,6.0,1.0,7.0,8.0,1.0,2.0
sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__,1.0,2.0,1.0,5.0,8.0,7.0,6.0,9.0,1.0,4.0
sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__,1.0,3.0,1.0,1.0,8.0,5.0,6.0,2.0,0.0,2.0
