phylum,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Armatimonadetes,157.0,96.0,49.0,621.0,236.0,49.0,236.0,340.0,61.0,356.0
sk__Bacteria;p__Armatimonadetes,157.0,96.0,49.0,621.0,236.0,49.0,236.0,340.0,61.0,356.0
sk__Bacteria;p__Armatimonadetes,157.0,96.0,49.0,621.0,236.0,49.0,236.0,340.0,61.0,356.0
sk__Bacteria;p__Armatimonadetes,157.0,96.0,49.0,621.0,236.0,49.0,236.0,340.0,61.0,356.0
sk__Bacteria;p__Armatimonadetes,157.0,96.0,49.0,621.0,236.0,49.0,236.0,340.0,61.0,356.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Bacteroidetes,8432.0,2131.0,17432.0,6679.0,2879.0,1537.0,2738.0,7024.0,11596.0,5021.0
sk__Bacteria;p__Calditrichaeota,3.0,6.0,0.0,1.0,14.0,9.0,17.0,11.0,0.0,2.0
sk__Bacteria;p__Candidatus Azambacteria,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Candidatus Campbellbacteria,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0
sk__Bacteria;p__Candidatus Kaiserbacteria,4.0,3.0,2.0,11.0,6.0,1.0,7.0,8.0,1.0,2.0
sk__Bacteria;p__Candidatus Komeilibacteria,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Candidatus Lloydbacteria,1.0,2.0,1.0,5.0,8.0,7.0,6.0,9.0,1.0,4.0
sk__Bacteria;p__Candidatus Magasanikbacteria,1.0,3.0,1.0,1.0,8.0,5.0,6.0,2.0,0.0,2.0
sk__Bacteria;p__Candidatus Nomurabacteria,6.0,7.0,0.0,6.0,4.0,2.0,15.0,10.0,0.0,5.0
sk__Bacteria;p__Candidatus Omnitrophica,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Omnitrophica,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Parcubacteria,4.0,5.0,1.0,3.0,21.0,15.0,15.0,8.0,4.0,2.0
sk__Bacteria;p__Candidatus Peregrinibacteria,2.0,9.0,3.0,8.0,4.0,10.0,19.0,5.0,1.0,4.0
sk__Bacteria;p__Candidatus Peregrinibacteria,2.0,9.0,3.0,8.0,4.0,10.0,19.0,5.0,1.0,4.0
sk__Bacteria;p__Candidatus Uhrbacteria,3.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0
sk__Bacteria;p__Candidatus Woesebacteria,1.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,2.0
sk__Bacteria;p__Candidatus Zambryskibacteria,2.0,3.0,1.0,0.0,8.0,7.0,4.0,7.0,2.0,1.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
