species,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__;f__;g__;s__,49.0,155.0,36.0,139.0,264.0,78.0,163.0,85.0,8.0,43.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__;s__,62.0,19.0,10.0,56.0,71.0,33.0,52.0,87.0,31.0,72.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium sp. WY65,8.0,5.0,4.0,17.0,6.0,0.0,10.0,18.0,6.0,11.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__;s__,456.0,430.0,115.0,720.0,480.0,244.0,1064.0,609.0,596.0,793.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter;s__,235.0,164.0,39.0,291.0,150.0,89.0,484.0,164.0,246.0,441.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__,64.0,69.0,26.0,78.0,33.0,20.0,115.0,155.0,77.0,99.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter;s__,172.0,173.0,60.0,286.0,71.0,65.0,357.0,88.0,214.0,258.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae;g__;s__,708.0,884.0,379.0,703.0,1193.0,616.0,1823.0,855.0,851.0,863.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__,128.0,104.0,73.0,116.0,100.0,18.0,176.0,77.0,72.0,60.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__,1.0,4.0,1.0,0.0,5.0,3.0,4.0,0.0,0.0,2.0
sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__,6.0,15.0,10.0,6.0,10.0,5.0,13.0,11.0,5.0,11.0
sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__,6766.0,11443.0,3223.0,9088.0,15857.0,5559.0,17973.0,7922.0,5549.0,7326.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__;s__,60.0,18.0,7.0,70.0,50.0,8.0,50.0,52.0,3.0,119.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__,823.0,242.0,138.0,1332.0,680.0,228.0,595.0,977.0,210.0,1294.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum;s__,34.0,24.0,18.0,81.0,30.0,11.0,66.0,61.0,4.0,109.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__;s__,3.0,1.0,1.0,6.0,15.0,3.0,6.0,11.0,1.0,15.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__,148.0,109.0,60.0,214.0,210.0,75.0,171.0,192.0,66.0,95.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__,534.0,169.0,259.0,372.0,411.0,171.0,573.0,641.0,530.0,296.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__,441.0,232.0,224.0,658.0,471.0,127.0,521.0,670.0,328.0,473.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__;s__,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,6.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans daechungensis,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__,17.0,2.0,5.0,46.0,4.0,3.0,9.0,17.0,4.0,22.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__,534.0,169.0,259.0,372.0,411.0,171.0,573.0,641.0,530.0,296.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium YJF1-30,1.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__;s__,1.0,0.0,2.0,1.0,6.0,0.0,0.0,16.0,1.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__,2.0,0.0,4.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,15.0,9.0,3.0,14.0,5.0,2.0,26.0,63.0,8.0,9.0
sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Coccidae;g__Rhodococcus;s__,3.0,3.0,2.0,1.0,1.0,2.0,4.0,20.0,9.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__;s__,9.0,3.0,1.0,21.0,6.0,0.0,3.0,43.0,1.0,8.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae;g__Fodinicola;s__,8.0,6.0,4.0,18.0,6.0,2.0,28.0,20.0,13.0,12.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans;s__,1.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae;g__;s__,8.0,26.0,1.0,129.0,81.0,25.0,85.0,70.0,9.0,15.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__,3.0,1.0,3.0,9.0,1.0,0.0,2.0,28.0,7.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__;g__;s__,5.0,1.0,0.0,21.0,2.0,0.0,5.0,11.0,7.0,18.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__;s__,121.0,46.0,18.0,327.0,99.0,12.0,151.0,260.0,109.0,270.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__;s__,175.0,39.0,195.0,403.0,37.0,38.0,67.0,394.0,1203.0,33.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae;g__;s__,8.0,1.0,1.0,0.0,3.0,4.0,2.0,5.0,9.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__;s__,66.0,3.0,5.0,87.0,23.0,32.0,17.0,225.0,49.0,9.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus;s__,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__;s__,13.0,11.0,14.0,95.0,8.0,3.0,18.0,61.0,32.0,31.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__;s__,491.0,8.0,503.0,165.0,53.0,83.0,96.0,885.0,3559.0,53.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__,6.0,0.0,12.0,1.0,0.0,0.0,0.0,19.0,62.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__,4.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,5.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__;s__,4.0,0.0,0.0,9.0,7.0,3.0,0.0,174.0,2.0,2.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catellatospora;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Luedemannella;s__Luedemannella sp. 119-1-07,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella;s__,4.0,1.0,0.0,3.0,0.0,0.0,4.0,9.0,4.0,1.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__;s__,1.0,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__,1.0,0.0,0.0,7.0,0.0,0.0,0.0,67.0,2.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,20.0,5.0,2.0,68.0,9.0,12.0,19.0,60.0,15.0,11.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__;g__;s__,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__;s__,210.0,0.0,194.0,3.0,1.0,1.0,2.0,3.0,68.0,10.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__,12.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__;g__;s__,328.0,210.0,185.0,384.0,335.0,110.0,412.0,332.0,256.0,264.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae;g__;s__,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__,169.0,73.0,99.0,229.0,122.0,43.0,180.0,162.0,115.0,154.0
sk__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__,1.0,12.0,1.0,3.0,8.0,5.0,9.0,3.0,1.0,2.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__;f__;g__;s__,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__,46.0,9.0,21.0,39.0,37.0,17.0,34.0,68.0,25.0,31.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter;s__,20.0,5.0,4.0,33.0,9.0,11.0,20.0,36.0,4.0,33.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__,5.0,1.0,2.0,1.0,3.0,2.0,2.0,12.0,1.0,2.0
sk__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__,1.0,2.0,0.0,7.0,1.0,1.0,1.0,13.0,1.0,0.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__,32.0,23.0,18.0,35.0,32.0,11.0,61.0,28.0,22.0,45.0
sk__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__Armatimonadetes bacterium 55-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__;g__;s__,6.0,2.0,0.0,115.0,9.0,0.0,4.0,15.0,0.0,57.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__;s__,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas;s__,21.0,19.0,3.0,165.0,37.0,0.0,37.0,47.0,3.0,68.0
sk__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas;s__Armatimonas rosea,2.0,0.0,0.0,16.0,1.0,0.0,3.0,4.0,0.0,8.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__;g__;s__,15.0,12.0,12.0,6.0,17.0,8.0,39.0,17.0,2.0,4.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__;s__,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0
sk__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__,12.0,4.0,4.0,16.0,15.0,4.0,20.0,13.0,3.0,13.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__;g__;s__,3.0,1.0,1.0,4.0,9.0,0.0,5.0,8.0,1.0,8.0
sk__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__,62.0,34.0,10.0,260.0,115.0,26.0,67.0,204.0,30.0,145.0
sk__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__,202.0,14.0,150.0,65.0,25.0,13.0,16.0,35.0,174.0,23.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__,5.0,6.0,0.0,18.0,11.0,8.0,11.0,9.0,0.0,65.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__;s__,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__;s__,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__;f__;g__;s__,97.0,2.0,17.0,0.0,1.0,0.0,0.0,4.0,56.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__;g__;s__,191.0,170.0,84.0,392.0,202.0,104.0,223.0,292.0,82.0,278.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,1000.0,314.0,252.0,788.0,424.0,150.0,549.0,877.0,498.0,708.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__,7.0,0.0,0.0,12.0,2.0,1.0,0.0,193.0,2.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter;s__,45.0,36.0,3.0,194.0,4.0,2.0,45.0,15.0,8.0,38.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__,284.0,120.0,53.0,501.0,142.0,56.0,165.0,539.0,102.0,529.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Filimonas;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flaviaesturariibacter;s__,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__,3.0,0.0,0.0,6.0,0.0,0.0,0.0,51.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Lacibacter;s__,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Pseudoflavitalea;s__,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__,4.0,7.0,1.0,29.0,8.0,9.0,7.0,8.0,2.0,28.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter;s__,5.0,0.0,0.0,6.0,0.0,0.0,1.0,61.0,0.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__,457.0,266.0,130.0,507.0,383.0,179.0,643.0,573.0,224.0,509.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__Terrimonas rhizosphaerae,70.0,37.0,10.0,74.0,16.0,14.0,72.0,26.0,26.0,81.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__Terrimonas sp.,9.0,5.0,7.0,6.0,30.0,34.0,14.0,37.0,2.0,2.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__;s__,3.0,11.0,0.0,66.0,22.0,2.0,17.0,40.0,4.0,88.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__Chryseolinea;s__,15.0,31.0,6.0,42.0,49.0,13.0,20.0,11.0,2.0,35.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__,17.0,0.0,9.0,18.0,3.0,3.0,2.0,76.0,4.0,11.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga;s__,4.0,6.0,0.0,32.0,6.0,0.0,2.0,7.0,0.0,21.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter;s__,1.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Emticicia;s__,11.0,24.0,7.0,78.0,6.0,4.0,35.0,18.0,0.0,3.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Fibrella;s__,2.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__,2.0,0.0,0.0,1.0,0.0,0.0,1.0,101.0,15.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Sporocytophaga;s__,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__;s__,18.0,1.0,17.0,19.0,9.0,1.0,3.0,424.0,47.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter;s__,18.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__,22.0,1.0,36.0,54.0,10.0,3.0,8.0,1827.0,172.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Microscillaceae;g__;s__,40.0,241.0,9.0,746.0,386.0,121.0,95.0,135.0,11.0,548.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__;g__;s__,24.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__,58.0,19.0,53.0,177.0,37.0,13.0,27.0,78.0,39.0,96.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__,12.0,6.0,0.0,9.0,4.0,9.0,2.0,6.0,1.0,20.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__,478.0,0.0,396.0,15.0,14.0,37.0,1.0,41.0,222.0,9.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium;s__,125.0,0.0,136.0,0.0,0.0,0.0,0.0,2.0,65.0,5.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Citreitalea;s__,56.0,0.0,32.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,4317.0,62.0,15682.0,471.0,209.0,299.0,52.0,499.0,9591.0,101.0
sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp. S4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__;g__;s__,42.0,28.0,9.0,194.0,45.0,9.0,46.0,67.0,10.0,52.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__;s__,36.0,26.0,17.0,126.0,52.0,16.0,101.0,63.0,55.0,102.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Haliscomenobacter;s__,11.0,0.0,0.0,89.0,5.0,0.0,4.0,7.0,0.0,69.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter;s__,11.0,3.0,3.0,32.0,10.0,5.0,10.0,25.0,4.0,20.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae;g__;s__,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__,245.0,114.0,19.0,753.0,148.0,48.0,138.0,253.0,22.0,335.0
sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__;g__;s__,4.0,20.0,1.0,5.0,16.0,2.0,14.0,8.0,0.0,5.0
