,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Saprospiria,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Saprospiria,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae;g__,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae;g__;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Saprospiria,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__,sk__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__;g__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__;f__;g__;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
sk__Bacteria;k__;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae,sk__Bacteria,sk__Bacteria;p__Calditrichaeota,sk__Bacteria;p__Calditrichaeota;c__Calditrichae,sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales,sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae,sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae;g__,sk__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae;g__;s__
sk__Bacteria;k__;p__Candidatus_Azambacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Azambacteria,sk__Bacteria;p__Candidatus Azambacteria;c__,sk__Bacteria;p__Candidatus Azambacteria;c__;o__,sk__Bacteria;p__Candidatus Azambacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Azambacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Azambacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Campbellbacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Campbellbacteria,sk__Bacteria;p__Candidatus Campbellbacteria;c__,sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__,sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Campbellbacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Kaiserbacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Kaiserbacteria,sk__Bacteria;p__Candidatus Kaiserbacteria;c__,sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__,sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Kaiserbacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Komeilibacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Komeilibacteria,sk__Bacteria;p__Candidatus Komeilibacteria;c__,sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__,sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Komeilibacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Lloydbacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Lloydbacteria,sk__Bacteria;p__Candidatus Lloydbacteria;c__,sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__,sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Lloydbacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Magasanikbacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Magasanikbacteria,sk__Bacteria;p__Candidatus Magasanikbacteria;c__,sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__,sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Magasanikbacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Nomurabacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Nomurabacteria,sk__Bacteria;p__Candidatus Nomurabacteria;c__,sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__,sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Omnitrophica,sk__Bacteria,sk__Bacteria;p__Candidatus Omnitrophica,sk__Bacteria;p__Candidatus Omnitrophica;c__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Omnitrophica;c__;o__;f__;g__Candidatus_Omnitrophus,sk__Bacteria,sk__Bacteria;p__Candidatus Omnitrophica,sk__Bacteria;p__Candidatus Omnitrophica;c__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__;g__Candidatus Omnitrophus,sk__Bacteria;p__Candidatus Omnitrophica;c__;o__;f__;g__Candidatus Omnitrophus;s__
sk__Bacteria;k__;p__Candidatus_Parcubacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Parcubacteria,sk__Bacteria;p__Candidatus Parcubacteria;c__,sk__Bacteria;p__Candidatus Parcubacteria;c__;o__,sk__Bacteria;p__Candidatus Parcubacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Parcubacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Parcubacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Peregrinibacteria,sk__Bacteria;p__Candidatus Peregrinibacteria;c__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria;c__Candidatus_Peribacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Peregrinibacteria,sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria,sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria;o__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria;o__;f__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria;o__;f__;g__,sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Uhrbacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Uhrbacteria,sk__Bacteria;p__Candidatus Uhrbacteria;c__,sk__Bacteria;p__Candidatus Uhrbacteria;c__;o__,sk__Bacteria;p__Candidatus Uhrbacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Uhrbacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Uhrbacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Woesebacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Woesebacteria,sk__Bacteria;p__Candidatus Woesebacteria;c__,sk__Bacteria;p__Candidatus Woesebacteria;c__;o__,sk__Bacteria;p__Candidatus Woesebacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Woesebacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Woesebacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Candidatus_Zambryskibacteria,sk__Bacteria,sk__Bacteria;p__Candidatus Zambryskibacteria,sk__Bacteria;p__Candidatus Zambryskibacteria;c__,sk__Bacteria;p__Candidatus Zambryskibacteria;c__;o__,sk__Bacteria;p__Candidatus Zambryskibacteria;c__;o__;f__,sk__Bacteria;p__Candidatus Zambryskibacteria;c__;o__;f__;g__,sk__Bacteria;p__Candidatus Zambryskibacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Chlamydiae,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__,sk__Bacteria;p__Chlamydiae;c__;o__,sk__Bacteria;p__Chlamydiae;c__;o__;f__,sk__Bacteria;p__Chlamydiae;c__;o__;f__;g__,sk__Bacteria;p__Chlamydiae;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus_Metachlamydia,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Metachlamydia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Metachlamydia;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus_Protochlamydia,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Neochlamydia,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Neochlamydia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Neochlamydia;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae;g__;s__
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae,sk__Bacteria,sk__Bacteria;p__Chlamydiae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__,sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae;g__;s__
sk__Bacteria;k__;p__Chloroflexi,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__,sk__Bacteria;p__Chloroflexi;c__;o__,sk__Bacteria;p__Chloroflexi;c__;o__;f__,sk__Bacteria;p__Chloroflexi;c__;o__;f__;g__,sk__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Anaerolineae,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Anaerolineae,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Anaerolineae,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Ardenticatenia,sk__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales,sk__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__,sk__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Caldilineae;o__Caldilineales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Caldilineae,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Caldilineae,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__,sk__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Chloroflexia,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Chloroflexia,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__,sk__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Dehalococcoidia,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__;f__,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__;f__;g__,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Ktedonobacteria,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__;f__,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__;f__;g__,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__,sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__;g__;s__
sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__;g__,sk__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__;g__;s__
sk__Bacteria;k__;p__Cyanobacteria,sk__Bacteria,sk__Bacteria;p__Cyanobacteria,sk__Bacteria;p__Cyanobacteria;c__,sk__Bacteria;p__Cyanobacteria;c__;o__,sk__Bacteria;p__Cyanobacteria;c__;o__;f__,sk__Bacteria;p__Cyanobacteria;c__;o__;f__;g__,sk__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
