taxonomy,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales,1.0,4.0,1.0,0.0,5.0,3.0,4.0,0.0,0.0,2.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,6.0,15.0,10.0,6.0,10.0,5.0,13.0,11.0,5.0,11.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales,95.0,48.0,19.0,174.0,89.0,27.0,114.0,122.0,58.0,202.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae,60.0,18.0,7.0,70.0,50.0,8.0,50.0,52.0,3.0,119.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter,823.0,242.0,138.0,1332.0,680.0,228.0,595.0,977.0,210.0,1294.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Paludibaculum,34.0,24.0,18.0,81.0,30.0,11.0,66.0,61.0,4.0,109.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae,3.0,1.0,1.0,6.0,15.0,3.0,6.0,11.0,1.0,15.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter,148.0,109.0,60.0,214.0,210.0,75.0,171.0,192.0,66.0,95.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
sk__Bacteria;k__;p__Actinobacteria,486.0,162.0,233.0,291.0,392.0,162.0,548.0,391.0,335.0,271.0,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia,441.0,232.0,224.0,658.0,471.0,127.0,521.0,670.0,328.0,473.0,sk__Bacteria,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__
