taxonomy,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae,0.0,15.0,0.0,60.0,4.0,1.0,4.0,2.0,0.0,30.0,sk__Bacteria,sk__Bacteria;p__Cyanobacteria,sk__Bacteria;p__Cyanobacteria;c__,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae;g__,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae;g__;s__
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae;g__Pseudanabaena,0.0,2.0,0.0,14.0,3.0,0.0,4.0,2.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Cyanobacteria,sk__Bacteria;p__Cyanobacteria;c__,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae;g__Pseudanabaena,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Pseudanabaenaceae;g__Pseudanabaena;s__
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus,0.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,sk__Bacteria,sk__Bacteria;p__Cyanobacteria,sk__Bacteria;p__Cyanobacteria;c__,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__
sk__Bacteria;k__;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Fibrobacteres,sk__Bacteria;p__Fibrobacteres;c__Fibrobacteria,sk__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales,sk__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__,sk__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__;g__,sk__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__;g__;s__
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Pasteuriaceae;g__Pasteuria,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Pasteuriaceae,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Pasteuriaceae;g__Pasteuria,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Pasteuriaceae;g__Pasteuria;s__
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus;s__
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Negativicutes,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__;g__,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__;g__;s__
sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales,0.0,11.0,1.0,7.0,19.0,3.0,7.0,6.0,0.0,11.0,sk__Bacteria,sk__Bacteria;p__Gemmatimonadetes,sk__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,sk__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales,sk__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__,sk__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__,sk__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
sk__Bacteria;k__;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,sk__Bacteria,sk__Bacteria;p__Ignavibacteriae,sk__Bacteria;p__Ignavibacteriae;c__Ignavibacteria,sk__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales,sk__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__,sk__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__;g__,sk__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__;g__;s__
sk__Bacteria;k__;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Lentisphaerae,sk__Bacteria;p__Lentisphaerae;c__Lentisphaeria,sk__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales,sk__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__,sk__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__;g__,sk__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__;g__;s__
sk__Bacteria;k__;p__Lentisphaerae;c__Oligosphaeria,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Lentisphaerae,sk__Bacteria;p__Lentisphaerae;c__Oligosphaeria,sk__Bacteria;p__Lentisphaerae;c__Oligosphaeria;o__,sk__Bacteria;p__Lentisphaerae;c__Oligosphaeria;o__;f__,sk__Bacteria;p__Lentisphaerae;c__Oligosphaeria;o__;f__;g__,sk__Bacteria;p__Lentisphaerae;c__Oligosphaeria;o__;f__;g__;s__
sk__Bacteria;k__;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae_bacterium_RIFCSPHIGHO2_01_FULL_66_17,0.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Nitrospirae,sk__Bacteria;p__Nitrospirae;c__,sk__Bacteria;p__Nitrospirae;c__;o__,sk__Bacteria;p__Nitrospirae;c__;o__;f__,sk__Bacteria;p__Nitrospirae;c__;o__;f__;g__,sk__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum,0.0,24.0,2.0,5.0,8.0,5.0,20.0,0.0,2.0,3.0,sk__Bacteria,sk__Bacteria;p__Nitrospirae,sk__Bacteria;p__Nitrospirae;c__Nitrospira,sk__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales,sk__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae,sk__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum,sk__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum;s__
sk__Bacteria;k__;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae,0.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,7.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Phycisphaerae,sk__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales,sk__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae,sk__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__,sk__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__;f__,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__;f__;g__,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__;f__;g__;s__
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__Planctomyces_sp.,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,sk__Bacteria,sk__Bacteria;p__Planctomycetes,sk__Bacteria;p__Planctomycetes;c__Planctomycetia,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces,sk__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__Planctomyces sp.
sk__Bacteria;k__;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Acidithiobacillia,sk__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales,sk__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__,sk__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Woodsholea,0.0,1.0,0.0,6.0,2.0,1.0,2.0,2.0,1.0,8.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Woodsholea,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Woodsholea;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__;g__Candidatus_Nucleicultrix,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Caedimonadaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Caedimonadaceae;g__Candidatus Nucleicultrix,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Caedimonadaceae;g__Candidatus Nucleicultrix;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae,0.0,4.0,2.0,4.0,4.0,1.0,5.0,9.0,1.0,4.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Captivus,0.0,6.0,1.0,4.0,4.0,1.0,5.0,2.0,0.0,6.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Captivus,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus Paracaedibacteraceae;g__Candidatus Captivus;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales,0.0,1.0,0.0,4.0,0.0,1.0,10.0,3.0,1.0,2.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocapsa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocapsa,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocapsa;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Kaistia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Kaistia,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Kaistia;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus,0.0,1.0,1.0,2.0,3.0,0.0,0.0,11.0,3.0,1.0,sk__Eukaryota,sk__Eukaryota;p__Arthropoda,sk__Eukaryota;p__Arthropoda;c__Insecta,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pseudococcidae,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pseudococcidae;g__Paracoccus,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pseudococcidae;g__Paracoccus;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila,0.0,7.0,1.0,18.0,10.0,8.0,6.0,4.0,1.0,20.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae;g__,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Taonella,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Taonella,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Taonella;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Methylibium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Methylibium,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Methylibium;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rhizobacter,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rhizobacter,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rhizobacter;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Brachymonas,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Brachymonas,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Brachymonas;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales;f__Ferrovaceae;g__Ferrovum,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales;f__Ferrovaceae,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales;f__Ferrovaceae;g__Ferrovum,sk__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales;f__Ferrovaceae;g__Ferrovum;s__
