,phylum,order,genus
2453,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Palleronia
2454,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiodictyon
2455,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Candidatus Thiopilula
2456,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales,sk__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Negativicoccus
2457,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae;g__Candidatus Gortzia
2458,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Byssovorax
2459,sk__Eukaryota;p__Ascomycota,sk__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales,sk__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Magnusiomyces
2460,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus
2461,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,sk__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Myxococcus
2462,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Zhongshania
2463,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa
2464,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas
2465,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Leucothrix
2466,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Sporolactobacillus
2467,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Pseudaminobacter
2468,sk__Bacteria;p__Proteobacteria,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalispiraceae;g__Thiohalophilus
2469,sk__Bacteria;p__Cyanobacteria,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales,sk__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__Leptolyngbya
2470,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinoalloteichus
