#SampleID	SRR1141250	SRR1143350	SRR1145430	SRR1145431	SRR1143324	SRR1145435	SRR1145427	SRR1145428	SRR1141249	SRR1143339	SRR1145429
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;s__Blastocatella_fastidiosa	0	0	0	0	0	0	3	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter	1603	138	90	0	956	0	60	174	1008	24	56
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Tellurimicrobium	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Pyrinomonadaceae	7439	107	607	0	3799	0	97	700	6557	47	758
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae	5241	445	7522	0	3953	0	295	11514	4351	36	3575
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales	6	2	57	0	4	0	1	77	5	0	44
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	32	38	2085	0	25	0	6	2002	37	4	1162
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix	2	7	1870	0	0	0	2	1565	2	3	1097
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__Geothrix_fermentans	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	1	0	8	0	0	0	0	11	0	0	12
sk__Bacteria;k__;p__Acidobacteria;c__Thermoanaerobaculia	1	0	1	0	4	0	0	2	1	0	7
sk__Bacteria;k__;p__Acidobacteria;c__Thermoanaerobaculia;o__Thermoanaerobaculales	15	6	13	0	14	0	2	19	11	0	9
sk__Bacteria;k__;p__Acidobacteria;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	298	166	135	0	237	0	32	152	246	20	62
sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria	16	6	4	0	9	0	6	7	8	1	8
sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae	12	24	5	0	9	0	24	8	10	18	7
sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Luteitalea	32	28	1	0	13	0	28	3	25	6	1
sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae;g__Vicinamibacter	1	0	0	0	0	0	1	0	1	0	0
sk__Bacteria;k__;p__Actinobacteria	325	1378	255	0	323	0	722	281	309	377	302
