,superkingdom,phylum,class,order,family,genus
22,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__
23,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__
24,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
25,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__
26,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter
27,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,sk__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__
28,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia,sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae,sk__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__
29,sk__Bacteria,sk__Bacteria;p__Bacteroidetes,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__
30,sk__Bacteria,sk__Bacteria;p__Chlorobi,sk__Bacteria;p__Chlorobi;c__,sk__Bacteria;p__Chlorobi;c__;o__,sk__Bacteria;p__Chlorobi;c__;o__;f__,sk__Bacteria;p__Chlorobi;c__;o__;f__;g__
31,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Anaerolineae,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__,sk__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__
32,sk__Bacteria,sk__Bacteria;p__Chloroflexi,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae,sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__
