,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC,PR-AUC
92,0.9646,0.9553,0.9251,0.9553,0.0749,0.9553,0.855,0.902,0.9405,0.9923,0.9618
93,0.9648,0.9553,0.9256,0.9553,0.0744,0.9553,0.8559,0.9025,0.9405,0.9923,0.9618
94,0.9649,0.9553,0.9258,0.9553,0.0742,0.9553,0.8569,0.9031,0.9405,0.9923,0.9618
95,0.9651,0.955,0.9262,0.955,0.0738,0.955,0.858,0.9036,0.9405,0.9923,0.9618
96,0.9653,0.955,0.9266,0.955,0.0734,0.955,0.8593,0.9043,0.9405,0.9923,0.9618
97,0.9654,0.9549,0.9271,0.9549,0.0729,0.9549,0.8599,0.9046,0.9405,0.9923,0.9618
98,0.9656,0.9549,0.9274,0.9549,0.0726,0.9549,0.8606,0.905,0.9405,0.9923,0.9618
99,0.9657,0.9549,0.9277,0.9549,0.0723,0.9549,0.8613,0.9054,0.9405,0.9923,0.9618
100,0.9659,0.9549,0.928,0.9549,0.072,0.9549,0.862,0.9058,0.9405,0.9923,0.9618
101,0.966,0.9549,0.9283,0.9549,0.0717,0.9549,0.8625,0.906,0.9405,0.9923,0.9618
102,0.9664,0.9548,0.9289,0.9548,0.0711,0.9548,0.8639,0.9067,0.9405,0.9923,0.9618
103,0.9666,0.9547,0.9293,0.9547,0.0707,0.9547,0.8644,0.907,0.9405,0.9923,0.9618
104,0.9668,0.9547,0.9297,0.9547,0.0703,0.9547,0.8654,0.9076,0.9405,0.9923,0.9618
105,0.9669,0.9547,0.93,0.9547,0.07,0.9547,0.8662,0.9081,0.9405,0.9923,0.9618
106,0.9671,0.9547,0.9303,0.9547,0.0697,0.9547,0.8669,0.9084,0.9405,0.9923,0.9618
107,0.9673,0.9544,0.9307,0.9544,0.0693,0.9544,0.8679,0.9088,0.9405,0.9923,0.9618
108,0.9675,0.9544,0.9311,0.9544,0.0689,0.9544,0.8683,0.909,0.9405,0.9923,0.9618
109,0.9676,0.9544,0.9313,0.9544,0.0687,0.9544,0.869,0.9095,0.9405,0.9923,0.9618
110,0.9677,0.9544,0.9317,0.9544,0.0683,0.9544,0.8693,0.9096,0.9405,0.9923,0.9618
111,0.9678,0.9543,0.932,0.9543,0.068,0.9543,0.8698,0.9098,0.9405,0.9923,0.9618
112,0.9679,0.9543,0.9323,0.9543,0.0677,0.9543,0.8713,0.9107,0.9405,0.9923,0.9618
113,0.9682,0.9543,0.9328,0.9543,0.0672,0.9543,0.8724,0.9112,0.9405,0.9923,0.9618
114,0.9682,0.9542,0.933,0.9542,0.067,0.9542,0.8732,0.9117,0.9405,0.9923,0.9618
115,0.9684,0.9537,0.9333,0.9537,0.0667,0.9537,0.8736,0.9117,0.9405,0.9923,0.9618
116,0.9685,0.9537,0.9336,0.9537,0.0664,0.9537,0.8745,0.9121,0.9405,0.9923,0.9618
117,0.9686,0.9537,0.9338,0.9537,0.0662,0.9537,0.8755,0.9126,0.9405,0.9923,0.9618
118,0.9688,0.9537,0.9341,0.9537,0.0659,0.9537,0.8761,0.913,0.9405,0.9923,0.9618
119,0.9688,0.9536,0.9344,0.9536,0.0656,0.9536,0.8767,0.9133,0.9405,0.9923,0.9618
120,0.9689,0.9536,0.9346,0.9536,0.0654,0.9536,0.8775,0.9137,0.9405,0.9923,0.9618
121,0.9691,0.9536,0.9348,0.9536,0.0652,0.9536,0.8785,0.9142,0.9405,0.9923,0.9618
122,0.9692,0.9533,0.935,0.9533,0.065,0.9533,0.8789,0.9143,0.9405,0.9923,0.9618
123,0.9693,0.9533,0.9353,0.9533,0.0647,0.9533,0.8795,0.9147,0.9405,0.9923,0.9618
124,0.9694,0.9533,0.9356,0.9533,0.0644,0.9533,0.8798,0.9148,0.9405,0.9923,0.9618
125,0.9695,0.9532,0.9358,0.9532,0.0642,0.9532,0.8804,0.9152,0.9405,0.9923,0.9618
126,0.9696,0.9532,0.9359,0.9532,0.0641,0.9532,0.8806,0.9152,0.9405,0.9923,0.9618
127,0.9697,0.9532,0.9363,0.9532,0.0637,0.9532,0.8811,0.9155,0.9405,0.9923,0.9618
128,0.9698,0.9532,0.9365,0.9532,0.0635,0.9532,0.8815,0.9157,0.9405,0.9923,0.9618
129,0.9699,0.9529,0.9367,0.9529,0.0633,0.9529,0.8817,0.9156,0.9405,0.9923,0.9618
130,0.97,0.9529,0.9369,0.9529,0.0631,0.9529,0.8821,0.9159,0.9405,0.9923,0.9618
131,0.97,0.9528,0.9371,0.9528,0.0629,0.9528,0.883,0.9163,0.9405,0.9923,0.9618
132,0.9702,0.9528,0.9373,0.9528,0.0627,0.9528,0.8837,0.9167,0.9405,0.9923,0.9618
133,0.9703,0.9527,0.9376,0.9527,0.0624,0.9527,0.8842,0.9169,0.9405,0.9923,0.9618
134,0.9704,0.9527,0.9378,0.9527,0.0622,0.9527,0.8844,0.9171,0.9405,0.9923,0.9618
135,0.9704,0.9527,0.938,0.9527,0.062,0.9527,0.8848,0.9172,0.9405,0.9923,0.9618
136,0.9705,0.9526,0.9382,0.9526,0.0618,0.9526,0.885,0.9173,0.9405,0.9923,0.9618
137,0.9706,0.9526,0.9384,0.9526,0.0616,0.9526,0.8856,0.9177,0.9405,0.9923,0.9618
138,0.9707,0.9526,0.9385,0.9526,0.0615,0.9526,0.8858,0.9177,0.9405,0.9923,0.9618
139,0.9707,0.9525,0.9387,0.9525,0.0613,0.9525,0.8861,0.9179,0.9405,0.9923,0.9618
140,0.9708,0.9523,0.939,0.9523,0.061,0.9523,0.8865,0.918,0.9405,0.9923,0.9618
141,0.9709,0.9522,0.9391,0.9522,0.0609,0.9522,0.8869,0.9182,0.9405,0.9923,0.9618
142,0.971,0.9519,0.9393,0.9519,0.0607,0.9519,0.8875,0.9183,0.9405,0.9923,0.9618
143,0.9711,0.9516,0.9395,0.9516,0.0605,0.9516,0.888,0.9185,0.9405,0.9923,0.9618
144,0.9711,0.9516,0.9397,0.9516,0.0603,0.9516,0.8884,0.9187,0.9405,0.9923,0.9618
145,0.9712,0.9516,0.9399,0.9516,0.0601,0.9516,0.8892,0.9191,0.9405,0.9923,0.9618
146,0.9713,0.9515,0.9401,0.9515,0.0599,0.9515,0.89,0.9195,0.9405,0.9923,0.9618
147,0.9714,0.9515,0.9403,0.9515,0.0597,0.9515,0.8902,0.9196,0.9405,0.9923,0.9618
148,0.9715,0.9515,0.9405,0.9515,0.0595,0.9515,0.8912,0.9201,0.9405,0.9923,0.9618
149,0.9716,0.9514,0.9407,0.9514,0.0593,0.9514,0.8914,0.9202,0.9405,0.9923,0.9618
150,0.9716,0.9514,0.9409,0.9514,0.0591,0.9514,0.8918,0.9204,0.9405,0.9923,0.9618
151,0.9717,0.9514,0.941,0.9514,0.059,0.9514,0.8921,0.9205,0.9405,0.9923,0.9618
152,0.9718,0.9513,0.9412,0.9513,0.0588,0.9513,0.8925,0.9207,0.9405,0.9923,0.9618
153,0.9718,0.9513,0.9414,0.9513,0.0586,0.9513,0.8929,0.9209,0.9405,0.9923,0.9618
154,0.9719,0.9512,0.9417,0.9512,0.0583,0.9512,0.893,0.921,0.9405,0.9923,0.9618
155,0.972,0.9509,0.9418,0.9509,0.0582,0.9509,0.8936,0.9211,0.9405,0.9923,0.9618
156,0.972,0.9509,0.942,0.9509,0.058,0.9509,0.8939,0.9213,0.9405,0.9923,0.9618
157,0.9721,0.9509,0.9421,0.9509,0.0579,0.9509,0.8943,0.9215,0.9405,0.9923,0.9618
158,0.9722,0.9509,0.9423,0.9509,0.0577,0.9509,0.8947,0.9217,0.9405,0.9923,0.9618
159,0.9722,0.9506,0.9425,0.9506,0.0575,0.9506,0.895,0.9217,0.9405,0.9923,0.9618
160,0.9723,0.9506,0.9426,0.9506,0.0574,0.9506,0.8956,0.922,0.9405,0.9923,0.9618
161,0.9724,0.9505,0.9428,0.9505,0.0572,0.9505,0.8959,0.9222,0.9405,0.9923,0.9618
162,0.9724,0.9505,0.9429,0.9505,0.0571,0.9505,0.8962,0.9223,0.9405,0.9923,0.9618
163,0.9724,0.9505,0.943,0.9505,0.057,0.9505,0.8966,0.9225,0.9405,0.9923,0.9618
164,0.9725,0.9502,0.9432,0.9502,0.0568,0.9502,0.8967,0.9224,0.9405,0.9923,0.9618
165,0.9725,0.9502,0.9433,0.9502,0.0567,0.9502,0.8967,0.9224,0.9405,0.9923,0.9618
166,0.9726,0.9502,0.9434,0.9502,0.0566,0.9502,0.8975,0.9228,0.9405,0.9923,0.9618
167,0.9726,0.9501,0.9436,0.9501,0.0564,0.9501,0.8979,0.923,0.9405,0.9923,0.9618
168,0.9727,0.9501,0.9438,0.9501,0.0562,0.9501,0.8984,0.9233,0.9405,0.9923,0.9618
169,0.9728,0.9501,0.9439,0.9501,0.0561,0.9501,0.8986,0.9233,0.9405,0.9923,0.9618
170,0.9728,0.9495,0.944,0.9495,0.056,0.9495,0.8992,0.9234,0.9405,0.9923,0.9618
171,0.9728,0.9494,0.9442,0.9494,0.0558,0.9494,0.8995,0.9235,0.9405,0.9923,0.9618
172,0.9729,0.9494,0.9443,0.9494,0.0557,0.9494,0.8999,0.9237,0.9405,0.9923,0.9618
173,0.9729,0.9494,0.9445,0.9494,0.0555,0.9494,0.9009,0.9242,0.9405,0.9923,0.9618
174,0.973,0.9494,0.9446,0.9494,0.0554,0.9494,0.901,0.9243,0.9405,0.9923,0.9618
175,0.973,0.9494,0.9447,0.9494,0.0553,0.9494,0.9011,0.9243,0.9405,0.9923,0.9618
176,0.9731,0.9494,0.9449,0.9494,0.0551,0.9494,0.9017,0.9246,0.9405,0.9923,0.9618
177,0.9732,0.9493,0.9451,0.9493,0.0549,0.9493,0.902,0.9248,0.9405,0.9923,0.9618
178,0.9732,0.9493,0.9452,0.9493,0.0548,0.9493,0.9022,0.9248,0.9405,0.9923,0.9618
179,0.9733,0.9492,0.9454,0.9492,0.0546,0.9492,0.9023,0.9249,0.9405,0.9923,0.9618
180,0.9734,0.9492,0.9457,0.9492,0.0543,0.9492,0.9036,0.9255,0.9405,0.9923,0.9618
181,0.9734,0.9492,0.9458,0.9492,0.0542,0.9492,0.9039,0.9257,0.9405,0.9923,0.9618
182,0.9735,0.9491,0.946,0.9491,0.054,0.9491,0.9043,0.9258,0.9405,0.9923,0.9618
183,0.9735,0.9491,0.9462,0.9491,0.0538,0.9491,0.9049,0.9261,0.9405,0.9923,0.9618
184,0.9736,0.9491,0.9463,0.9491,0.0537,0.9491,0.9052,0.9263,0.9405,0.9923,0.9618
185,0.9736,0.9485,0.9465,0.9485,0.0535,0.9485,0.9057,0.9263,0.9405,0.9923,0.9618
186,0.9737,0.9485,0.9465,0.9485,0.0535,0.9485,0.9058,0.9263,0.9405,0.9923,0.9618
187,0.9737,0.9485,0.9467,0.9485,0.0533,0.9485,0.9064,0.9266,0.9405,0.9923,0.9618
188,0.9738,0.9485,0.9468,0.9485,0.0532,0.9485,0.907,0.9268,0.9405,0.9923,0.9618
189,0.9739,0.9481,0.9469,0.9481,0.0531,0.9481,0.9078,0.9271,0.9405,0.9923,0.9618
190,0.9739,0.9481,0.9472,0.9481,0.0528,0.9481,0.9081,0.9273,0.9405,0.9923,0.9618
191,0.974,0.9481,0.9473,0.9481,0.0527,0.9481,0.9085,0.9274,0.9405,0.9923,0.9618
192,0.974,0.9478,0.9474,0.9478,0.0526,0.9478,0.9088,0.9274,0.9405,0.9923,0.9618
193,0.9741,0.9475,0.9476,0.9475,0.0524,0.9475,0.9092,0.9275,0.9405,0.9923,0.9618
194,0.9741,0.9475,0.9478,0.9475,0.0522,0.9475,0.9093,0.9275,0.9405,0.9923,0.9618
195,0.9742,0.9475,0.9479,0.9475,0.0521,0.9475,0.9098,0.9278,0.9405,0.9923,0.9618
196,0.9742,0.9474,0.948,0.9474,0.052,0.9474,0.9099,0.9278,0.9405,0.9923,0.9618
197,0.9743,0.9474,0.9481,0.9474,0.0519,0.9474,0.91,0.9279,0.9405,0.9923,0.9618
198,0.9743,0.9474,0.9482,0.9474,0.0518,0.9474,0.9101,0.9279,0.9405,0.9923,0.9618
199,0.9743,0.9474,0.9484,0.9474,0.0516,0.9474,0.9105,0.9281,0.9405,0.9923,0.9618
200,0.9744,0.9474,0.9485,0.9474,0.0515,0.9474,0.9108,0.9283,0.9405,0.9923,0.9618
201,0.9744,0.9471,0.9485,0.9471,0.0515,0.9471,0.9111,0.9283,0.9405,0.9923,0.9618
202,0.9744,0.9468,0.9486,0.9468,0.0514,0.9468,0.9114,0.9283,0.9405,0.9923,0.9618
203,0.9745,0.9468,0.9488,0.9468,0.0512,0.9468,0.9119,0.9286,0.9405,0.9923,0.9618
204,0.9745,0.9467,0.9489,0.9467,0.0511,0.9467,0.9123,0.9287,0.9405,0.9923,0.9618
205,0.9746,0.9467,0.949,0.9467,0.051,0.9467,0.9124,0.9287,0.9405,0.9923,0.9618
206,0.9746,0.9467,0.949,0.9467,0.051,0.9467,0.9129,0.929,0.9405,0.9923,0.9618
207,0.9746,0.9464,0.9491,0.9464,0.0509,0.9464,0.9129,0.9288,0.9405,0.9923,0.9618
208,0.9746,0.9464,0.9493,0.9464,0.0507,0.9464,0.913,0.9288,0.9405,0.9923,0.9618
209,0.9747,0.9464,0.9494,0.9464,0.0506,0.9464,0.9131,0.9289,0.9405,0.9923,0.9618
210,0.9748,0.9463,0.9496,0.9463,0.0504,0.9463,0.9133,0.929,0.9405,0.9923,0.9618
211,0.9748,0.9462,0.9497,0.9462,0.0503,0.9462,0.9135,0.9291,0.9405,0.9923,0.9618
212,0.9749,0.9457,0.9499,0.9457,0.0501,0.9457,0.9135,0.9288,0.9405,0.9923,0.9618
213,0.9749,0.9456,0.95,0.9456,0.05,0.9456,0.9139,0.929,0.9405,0.9923,0.9618
214,0.975,0.9456,0.9502,0.9456,0.0498,0.9456,0.9143,0.9291,0.9405,0.9923,0.9618
215,0.975,0.9456,0.9503,0.9456,0.0497,0.9456,0.9147,0.9294,0.9405,0.9923,0.9618
216,0.9751,0.9456,0.9504,0.9456,0.0496,0.9456,0.9147,0.9294,0.9405,0.9923,0.9618
217,0.9751,0.9456,0.9505,0.9456,0.0495,0.9456,0.9148,0.9294,0.9405,0.9923,0.9618
218,0.9751,0.9456,0.9506,0.9456,0.0494,0.9456,0.9152,0.9296,0.9405,0.9923,0.9618
219,0.9752,0.9456,0.9507,0.9456,0.0493,0.9456,0.9153,0.9296,0.9405,0.9923,0.9618
220,0.9752,0.9455,0.9508,0.9455,0.0492,0.9455,0.9153,0.9297,0.9405,0.9923,0.9618
221,0.9753,0.9455,0.951,0.9455,0.049,0.9455,0.9157,0.9298,0.9405,0.9923,0.9618
222,0.9753,0.9454,0.9511,0.9454,0.0489,0.9454,0.9161,0.93,0.9405,0.9923,0.9618
223,0.9754,0.9454,0.9513,0.9454,0.0487,0.9454,0.9163,0.9301,0.9405,0.9923,0.9618
224,0.9754,0.9454,0.9514,0.9454,0.0486,0.9454,0.9163,0.9301,0.9405,0.9923,0.9618
225,0.9755,0.9453,0.9515,0.9453,0.0485,0.9453,0.9167,0.9303,0.9405,0.9923,0.9618
226,0.9755,0.9453,0.9516,0.9453,0.0484,0.9453,0.9168,0.9303,0.9405,0.9923,0.9618
227,0.9755,0.9453,0.9517,0.9453,0.0483,0.9453,0.9174,0.9306,0.9405,0.9923,0.9618
228,0.9756,0.9453,0.9519,0.9453,0.0481,0.9453,0.9175,0.9306,0.9405,0.9923,0.9618
229,0.9756,0.9452,0.952,0.9452,0.048,0.9452,0.9176,0.9307,0.9405,0.9923,0.9618
230,0.9756,0.9452,0.9521,0.9452,0.0479,0.9452,0.9179,0.9308,0.9405,0.9923,0.9618
